Participant,Experiment_Duration,Date,Time,Browser,Mobile,Platform,Screen_Width,Screen_Height,Source,Gender,Age,Education,Student,Discipline,Ethnicity,Country,SexualOrientation,SexualStatus,StimuliChoice,Bait_Duration,BAIT_ImagesIssues,BAIT_ImageDistinctionBad,BAIT_Worry,BAIT_InterestingAI,BAIT_VideosRealistic,BAIT_ImagesRealistic,BAIT_TextDifferentiation,BAIT_ImpersonalAI,BAIT_TrustHuman,BAIT_Benefit,BAIT_ContentDetection,BAIT_UniqueHuman,BAIT_ImageDistinctionEasy,BAIT_ExpertAI,BAIT_Exciting,BAIT_PreferenceHuman,BAIT_EnvironmentReal,BAIT_ImitatingReality,BAIT_InnovativeAI,BAIT_Dangerous,BAIT_VideosIssues,BAIT_EmotionalHuman,BAIT_UnderstandingAI,BAIT_UserAI,BAIT_TextIssues,BAIT_TextRealistic,COPS_Duration,SexualActivity,COPS_Frequency_2,Feedback_NoFacesAttractive,Feedback_SomeFacesAttractive,Feedback_AIMoreAttractive,Feedback_AILessAttractive,Feedback_DiffObvious,Feedback_DiffSubtle,Feedback_DiffNone,Feedback_LabelsIncorrect,Feedback_LabelsReversed,Feedback_AllReal,Feedback_AllFake,Feedback_AllRealConfidence,Feedback_AllFakeConfidence,Feedback_Enjoyment,Feedback_Text,Instruction_Duration1,Instruction_Duration2,Eyetracking_Validation1_Mean,Eyetracking_Validation1_Max,Eyetracking_Validation1_Min,Eyetracking_Validation1_Distance,Eyetracking_Validation2_Mean,Eyetracking_Validation2_Max,Eyetracking_Validation2_Min,Eyetracking_Validation2_Distance
S032,23.282316666666667,07/02/2025,11:54:24,chrome,False,Windows 10,1280.0,593.0,prolific,Male,29,Other,Prefer not to say,Prefer not to say,Black,South Africa,Heterosexual,In a relationship and not open to dating,Prefer not to say,2.9366,4.0,4.0,6.0,3.0,6.0,6.0,6.0,6.0,4.0,6.0,4.0,6.0,2.0,2.0,6.0,3.0,6.0,6.0,4.0,4.0,6.0,6.0,2.0,6.0,4.0,6.0,0.8048333333333333,within the last month,I watched pornography twice in the past 30 days,False,True,False,True,False,False,True,False,False,False,False,,,4,,25.864,38.124,5.428846153846154,28.205128205128204,0.0,56.987269679166914,1.168831168831169,4.761904761904762,0.0,75.1931029279043
S033,26.294966666666667,07/02/2025,11:55:24,chrome,False,Windows 10,1536.0,695.0,prolific,Male,32,Bachelor,False,"Engineering, Computer Science",Black,South Africa,Heterosexual,In a relationship and open to dating,Prefer not to say,2.5372333333333335,4.0,0.0,6.0,6.0,2.0,5.0,5.0,2.0,2.0,5.0,4.0,5.0,4.0,2.0,6.0,2.0,5.0,5.0,6.0,1.0,5.0,4.0,6.0,6.0,6.0,5.0,0.3053666666666667,within the last 3 days,I watched pornography weekly,False,True,False,False,False,False,False,False,False,False,False,,,4,,76.61,17.728,2.6879084967320264,12.5,0.0,131.1022519793411,1.5592203898050974,8.695652173913043,0.0,178.243730969765
S034,33.255700000000004,07/02/2025,12:00:40,chrome,False,Windows 10,1366.0,639.0,prolific,Male,21,High school,True,Prefer not to say,Black,South Africa,Heterosexual,Single and open to dating,Prefer not to say,3.2367500000000002,4.0,2.0,0.0,1.0,2.0,6.0,5.0,4.0,5.0,6.0,4.0,6.0,4.0,1.0,6.0,5.0,5.0,4.0,6.0,1.0,6.0,4.0,1.0,6.0,4.0,6.0,0.2905333333333333,more than a year ago,I watched pornography multiple times a day,False,True,True,False,True,False,False,True,False,False,False,,,4,Nothing,160.572,43.151,4.3478260869565215,21.73913043478261,0.0,65.75504430065624,8.14703425229741,23.809523809523807,0.0,72.10084600194963
S035,39.10425,07/02/2025,17:40:49,chrome,False,Windows 10,1920.0,953.0,prolific,Female,32,Bachelor,False,"Engineering, Computer Science",Black,South Africa,Heterosexual,In a relationship and not open to dating,Prefer not to say,3.122383333333333,6.0,0.0,4.0,0.0,2.0,2.0,2.0,5.0,6.0,4.0,6.0,6.0,4.0,0.0,6.0,6.0,4.0,0.0,3.0,6.0,6.0,3.0,5.0,6.0,6.0,2.0,0.5330333333333334,within the last 3 days,I watched pornography once in the past 30 days,False,True,False,True,False,False,False,True,False,False,False,,,4,,199.438,42.947,17.210669865780755,50.0,0.0,74.49439047378806,17.559906487434244,42.3728813559322,0.0,81.23327808617896
S036,27.4237,07/02/2025,17:42:12,firefox,False,Linux,1294.0,656.0,prolific,Female,40,Bachelor,False,"Business, Economics",Black,South Africa,Heterosexual,In a relationship and not open to dating,Prefer not to say,1.7576666666666665,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,0.30446666666666666,within the last 3 days,I haven't watched pornography in the past 30 days,False,True,False,True,False,False,True,False,False,False,False,,,4,NO COMMENTS,35.831,12.77,20.0,100.0,0.0,1.3554214194999514,20.0,100.0,0.0,0.2832807219155029
S037,33.41115,07/02/2025,18:02:08,chrome,False,Windows 10,1397.0,655.0,prolific,Female,23,Master,True,Other,Black,South Africa,Heterosexual,In a relationship and not open to dating,Prefer not to say,3.1139333333333337,0.0,4.0,0.0,6.0,5.0,4.0,6.0,2.0,1.0,3.0,1.0,2.0,3.0,3.0,6.0,2.0,6.0,4.0,4.0,5.0,1.0,5.0,3.0,5.0,6.0,4.0,0.8191833333333334,less than 24h ago,I watched pornography once in the past 30 days,False,True,True,False,False,False,True,True,False,False,True,,3.0,4,,4.247,13.418,0.0,0.0,0.0,134.69344917785588,0.0,0.0,0.0,151.16671223567315
S038,36.36161666666667,07/02/2025,18:07:17,chrome,False,Windows 10,1364.0,681.0,prolific,Male,27,High school,Prefer not to say,Prefer not to say,Black,South Africa,Heterosexual,Single and open to dating,Prefer not to say,3.268666666666667,4.0,6.0,6.0,0.0,3.0,6.0,3.0,3.0,3.0,3.0,0.0,5.0,2.0,2.0,6.0,6.0,6.0,6.0,2.0,5.0,1.0,6.0,2.0,3.0,4.0,5.0,0.53735,within the last year,I watched pornography twice in the past 30 days,True,False,False,False,False,False,False,True,False,True,False,3.0,,4,this experiment have me aroused to extreme extends and sadly/badly enough i have no one to go to for sexual healing and but i will be strong ,186.11,54.637,2.142857142857143,21.428571428571427,0.0,56.75985930999262,7.94155844155844,27.27272727272727,0.0,69.17562593989058
S039,30.1078,07/02/2025,19:05:10,crios,False,Mac OS,980.0,1704.0,prolific,Male,25,Bachelor,True,"Sociology, Anthropology",Black,Prefer not to say,Homosexual,In a relationship and not open to dating,Prefer not to say,2.840116666666667,2.0,2.0,1.0,3.0,4.0,5.0,2.0,3.0,2.0,5.0,4.0,3.0,6.0,5.0,5.0,2.0,5.0,4.0,4.0,0.0,1.0,3.0,5.0,5.0,3.0,2.0,0.65625,less than 24h ago,I watched pornography weekly,False,True,False,True,False,False,True,False,False,True,False,3.0,,4,I enjoyed taking this experiment and get to understand the use of AI,87.339,39.784,1.0777058279370952,4.25531914893617,0.0,412.2245310486095,1.1067193675889329,6.521739130434782,0.0,271.9880729373109
S040,21.19165,10/02/2025,10:37:25,chrome,False,Windows 10,1920.0,1073.0,prolific,Female,40,Bachelor,False,"Biology, Chemistry, Physics",White,United Kingdom,Heterosexual,In a relationship and not open to dating,Prefer not to say,1.8378666666666668,2.0,3.0,5.0,2.0,5.0,6.0,5.0,5.0,6.0,2.0,4.0,5.0,2.0,0.0,3.0,6.0,4.0,5.0,4.0,4.0,3.0,4.0,2.0,0.0,4.0,5.0,0.4497666666666667,within the last week,I watched pornography once in the past 30 days,True,False,False,False,False,False,True,True,False,False,False,,,4,,71.415,20.654,20.67005681654866,56.666666666666664,0.0,62.799637349376454,13.940677966101697,43.333333333333336,0.0,51.254236558511934
S041,18.9537,10/02/2025,10:47:30,edge-chromium,False,Windows 10,1358.0,642.0,prolific,Female,34,High school,False,Prefer not to say,White,United Kingdom,Heterosexual,In a relationship and not open to dating,Prefer not to say,1.9543,0.0,5.0,6.0,0.0,6.0,5.0,3.0,6.0,0.0,3.0,0.0,6.0,1.0,0.0,3.0,3.0,6.0,6.0,6.0,4.0,1.0,6.0,1.0,0.0,6.0,5.0,0.28359999999999996,within the last 3 days,I watched pornography weekly,True,False,False,False,False,False,True,False,False,False,False,,,4,,25.096,16.563,5.1989730423620015,41.46341463414634,0.0,85.69970441373167,0.3125,3.125,0.0,144.70093342423354
S042,28.8571,10/02/2025,12:35:49,chrome,False,Windows 10,1536.0,730.0,prolific,Female,25,Bachelor,False,"Literature, Languages",Black,South Africa,Heterosexual,In a relationship and not open to dating,Prefer not to say,2.9326166666666666,3.0,2.0,5.0,2.0,3.0,6.0,3.0,3.0,5.0,3.0,3.0,5.0,4.0,5.0,4.0,6.0,3.0,4.0,3.0,5.0,6.0,5.0,6.0,4.0,5.0,3.0,0.56345,within the last week,I watched pornography twice in the past 30 days,False,True,False,False,False,False,True,False,False,True,False,3.0,,3,,129.847,36.59,3.553672316384181,32.20338983050847,0.0,67.94991187584051,16.213143573862446,46.34146341463415,0.0,74.14897116677943
S043,26.205583333333333,10/02/2025,12:42:38,chrome,False,Windows 10,1536.0,730.0,prolific,Male,27,Bachelor,True,"Political Science, Law",Black,South Africa,Heterosexual,In a relationship and open to dating,Prefer not to say,2.6228333333333333,4.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,6.0,3.0,5.0,4.0,2.0,6.0,6.0,4.0,6.0,6.0,5.0,3.0,6.0,4.0,4.0,5.0,4.0,0.41461666666666663,within the last 3 days,I haven't watched pornography in the past 30 days,False,True,False,True,False,False,True,True,False,True,False,3.0,,3,,83.529,32.847,32.17796610169491,80.0,0.0,68.36956083312205,22.57909604519774,42.3728813559322,5.084745762711865,67.6301828796255
S044,34.07873333333333,10/02/2025,12:43:49,chrome,False,Windows 10,1366.0,679.0,prolific,Male,37,Master,False,"Biology, Chemistry, Physics",Prefer not to say,Prefer not to say,Heterosexual,In a relationship and not open to dating,Prefer not to say,3.8397666666666668,5.0,4.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,5.0,6.0,4.0,2.0,0.0,6.0,2.0,6.0,6.0,6.0,6.0,1.0,2.0,4.0,3.0,6.0,6.0,0.4594333333333333,within the last 3 days,I watched pornography once in the past 30 days,False,True,False,False,False,False,False,False,False,True,False,5.0,,4,The brief was clear,213.185,65.515,8.543756967670012,54.166666666666664,0.0,88.37067184079051,15.570512820512821,42.30769230769231,0.0,80.90305261705878
S045,45.25248333333333,10/02/2025,12:50:36,chrome,False,Windows 10,1366.0,633.0,prolific,Female,64,High school,False,Prefer not to say,Black,South Africa,Heterosexual,Other,Prefer not to say,5.891933333333333,2.0,4.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,2.0,2.0,2.0,1.0,4.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,1.0,4.0,5.0,0.8867166666666667,within the last week,I watched pornography once in the past 30 days,False,False,True,False,False,False,True,False,False,True,False,3.0,,4,Invite me for more studies like this,251.684,150.344,0.5172413793103449,5.172413793103448,0.0,66.63455369129878,4.43973463758754,15.254237288135593,0.0,73.49669952135822
S046,31.544266666666665,10/02/2025,12:54:50,chrome,False,Windows 10,1366.0,645.0,prolific,Male,65,High school,False,Prefer not to say,White,South Africa,Heterosexual,In a relationship and not open to dating,Prefer not to say,3.163683333333333,2.0,5.0,4.0,1.0,6.0,6.0,5.0,1.0,5.0,3.0,0.0,3.0,0.0,0.0,4.0,2.0,6.0,5.0,4.0,4.0,0.0,3.0,4.0,3.0,3.0,1.0,0.4583833333333333,within the last week,I haven't watched pornography in the past 30 days,False,True,False,False,False,False,True,False,False,True,False,3.0,,4,Maybe my comments would be different if I had more time to look at the pictures.,116.38,30.557,9.420289855072463,39.130434782608695,0.0,60.63518549293919,8.430105401844532,33.33333333333333,0.0,71.01670560934541
S047,28.749483333333334,10/02/2025,12:59:30,chrome,False,Windows 10,1366.0,599.0,prolific,Male,30,Bachelor,False,"Engineering, Computer Science",Black,South Africa,Heterosexual,In a relationship and not open to dating,Prefer not to say,1.98915,1.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,3.0,3.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,2.0,2.0,3.0,5.0,4.0,3.0,4.0,0.6384333333333333,within the last month,I watched pornography twice in the past 30 days,False,True,True,False,True,False,False,False,False,False,True,,4.0,4,the experiment was great,54.213,10.114,13.688596491228068,33.33333333333333,0.0,66.75994542236579,2.2549019607843137,16.666666666666664,0.0,106.39481168633858
S048,19.57858333333333,10/02/2025,13:30:14,chrome,False,Windows 10,1600.0,765.0,prolific,Male,23,High school,True,Prefer not to say,Black,South Africa,Heterosexual,Single and open to dating,Prefer not to say,1.8519,2.0,6.0,4.0,4.0,6.0,6.0,5.0,5.0,6.0,6.0,0.0,5.0,0.0,5.0,6.0,2.0,6.0,6.0,6.0,3.0,1.0,3.0,6.0,6.0,2.0,6.0,0.20868333333333336,within the last 3 days,I watched pornography multiple times a week,False,True,True,False,False,False,True,False,False,False,False,,,4,I enjoyed the experiment,41.16,28.638,8.370339338081275,45.45454545454545,0.0,216.44552202810405,10.195564516129032,28.125,0.0,250.79828849908813
S049,22.94985,10/02/2025,19:22:56,chrome,False,Windows 10,1280.0,551.0,prolific,Female,41,Bachelor,False,"Business, Economics",Black,South Africa,Homosexual,In a relationship and not open to dating,Prefer not to say,2.2679666666666667,1.0,5.0,1.0,5.0,6.0,6.0,5.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,6.0,3.0,5.0,6.0,3.0,0.0,1.0,2.0,6.0,5.0,5.0,4.0,0.2589666666666667,less than 24h ago,I watched pornography once in the past 30 days,False,True,True,False,False,False,True,False,False,False,False,,,4,nothing,64.806,25.006,9.535651665692578,25.423728813559322,0.0,72.5419962021883,1.5517241379310345,15.517241379310345,0.0,140.61667735646583
S050,30.49915,10/02/2025,19:23:37,chrome,False,Windows 10,1360.0,651.0,prolific,Male,54,High school,False,Prefer not to say,Mixed,South Africa,Heterosexual,In a relationship and not open to dating,Prefer not to say,2.9058166666666665,4.0,5.0,3.0,3.0,5.0,6.0,6.0,5.0,3.0,6.0,0.0,3.0,3.0,3.0,6.0,3.0,5.0,6.0,5.0,0.0,3.0,5.0,5.0,4.0,5.0,6.0,0.4700166666666667,within the last 3 days,I watched pornography twice in the past 30 days,False,True,True,False,False,False,True,True,False,True,False,3.0,,4,,75.108,36.562,3.4045584045584043,11.538461538461538,0.0,153.10822822913113,0.0,0.0,0.0,164.7162441935667
S051,57.98055,10/02/2025,19:31:23,chrome,False,Windows 10,1366.0,647.0,prolific,Male,22,High school,False,Prefer not to say,Black,South Africa,Heterosexual,Single and open to dating,Prefer not to say,4.707400000000001,4.0,3.0,6.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,4.0,6.0,5.0,6.0,4.0,4.0,4.0,6.0,2.0,6.0,4.0,5.0,4.0,5.0,5.0,1.0100333333333333,within the last month,I watched pornography twice in the past 30 days,False,True,True,False,False,False,False,False,False,False,True,,4.0,4,,111.56,72.947,0.0,0.0,0.0,71.85976642343749,0.0,0.0,0.0,152.3430620493706
S052,47.83976666666667,10/02/2025,19:31:24,chrome,False,Windows 10,1366.0,633.0,prolific,Female,23,High school,True,Prefer not to say,Black,South Africa,Heterosexual,Single and open to dating,Prefer not to say,5.698633333333333,4.0,2.0,0.0,4.0,3.0,4.0,5.0,1.0,3.0,5.0,1.0,1.0,3.0,2.0,6.0,3.0,5.0,4.0,1.0,0.0,1.0,1.0,3.0,5.0,1.0,1.0,1.1702166666666665,more than a year ago,I haven't watched pornography in the past 30 days,False,True,True,False,False,False,False,False,False,True,False,3.0,,1,"It hard to differentiate images by AI and those of a real image, I think AI has improved.",96.872,48.034,13.273161418670316,35.483870967741936,0.0,67.25863824809244,6.3040752351097185,27.586206896551722,0.0,101.21912474103219
S053,26.30125,10/02/2025,19:31:26,chrome,False,Windows 10,1366.0,599.0,prolific,Female,26,Bachelor,True,"Business, Economics",Black,South Africa,Bisexual,In a relationship and not open to dating,Men (and heterosexual couples),2.8434000000000004,6.0,1.0,5.0,4.0,5.0,5.0,3.0,4.0,6.0,3.0,5.0,3.0,5.0,1.0,5.0,6.0,6.0,4.0,2.0,4.0,5.0,6.0,5.0,4.0,4.0,1.0,0.4683,within the last 3 days,I watched pornography once in the past 30 days,False,True,False,False,False,False,False,False,False,True,False,4.0,,4,,56.6,29.999,9.176788124156545,28.947368421052634,0.0,80.2309825564399,6.295910230120756,23.684210526315788,0.0,86.75742188934264
S054,31.0265,10/02/2025,19:33:50,chrome,False,Windows 10,1355.0,633.0,prolific,Male,32,High school,False,Prefer not to say,Black,South Africa,Heterosexual,In a relationship and open to dating,Prefer not to say,3.709416666666667,4.0,2.0,6.0,4.0,5.0,6.0,5.0,5.0,3.0,6.0,4.0,6.0,5.0,4.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,0.0,6.0,5.0,5.0,6.0,0.6132333333333333,within the last week,I watched pornography multiple times a week,False,True,True,False,False,False,True,False,False,True,False,4.0,,4,none,163.068,52.623,2.1647058823529415,9.803921568627452,0.0,63.267064057342395,3.6957766794661127,10.204081632653061,0.0,73.77048230647736
S055,16.35035,10/02/2025,19:39:52,chrome,False,Windows 10,1536.0,730.0,prolific,Male,21,Bachelor,True,"Business, Economics",South Asian,South Africa,Heterosexual,Single and not open to dating,Prefer not to say,0.8084833333333333,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,1.0,5.0,4.0,5.0,4.0,5.0,4.0,0.36695,within the last month,I haven't watched pornography in the past 30 days,False,False,True,False,False,False,True,False,False,False,False,,,3,,16.981,7.21,22.196046362275744,41.66666666666667,1.7857142857142856,67.24309323091141,18.798636638093832,47.16981132075472,0.0,63.60811980078987
S056,34.83105,10/02/2025,19:49:10,firefox,False,Linux,980.0,1855.0,prolific,Male,23,Bachelor,True,"Business, Economics",Black,South Africa,Heterosexual,In a relationship and not open to dating,Prefer not to say,2.95295,3.0,0.0,0.0,6.0,6.0,6.0,0.0,4.0,4.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,0.37693333333333334,within the last 3 days,I watched pornography multiple times a week,False,True,True,False,False,False,True,False,True,False,False,,,4,No,58.463,15.444,0.0,0.0,0.0,21.193464763829272,4.722222222222222,25.0,0.0,26.52967336709899
S057,21.6735,10/02/2025,20:01:12,chrome,False,Windows 10,1600.0,773.0,prolific,Female,22,High school,True,Prefer not to say,Black,South Africa,Heterosexual,Single and open to dating,Prefer not to say,2.54705,2.0,3.0,0.0,1.0,2.0,6.0,1.0,4.0,4.0,2.0,3.0,6.0,3.0,1.0,4.0,1.0,2.0,6.0,3.0,0.0,6.0,4.0,3.0,6.0,2.0,5.0,0.23396666666666668,more than a year ago,I haven't watched pornography in the past 30 days,False,True,False,False,False,False,False,False,False,False,False,,,4,,30.244,27.423,3.628031878031878,17.5,0.0,76.69915974679796,1.1635641726396124,4.545454545454546,0.0,143.74850834683906
S058,48.70941666666667,10/02/2025,23:10:33,chrome,False,Windows 10,1366.0,641.0,prolific,Female,28,Master,False,"Biology, Chemistry, Physics",Prefer not to say,Prefer not to say,Heterosexual,In a relationship and not open to dating,Prefer not to say,5.326883333333333,4.0,5.0,1.0,5.0,6.0,6.0,3.0,0.0,4.0,5.0,3.0,1.0,0.0,5.0,6.0,3.0,6.0,6.0,5.0,1.0,3.0,2.0,5.0,6.0,2.0,3.0,0.5348,within the last week,I watched pornography weekly,False,True,True,False,False,False,True,True,False,True,False,4.0,,4,,165.98,142.171,0.0,0.0,0.0,101.45217716253099,2.5384615384615388,15.384615384615385,0.0,127.34383545848225
S059,35.64475,11/02/2025,12:46:44,chrome,False,Windows 10,1536.0,730.0,prolific,Male,24,Bachelor,False,"Business, Economics",Black,South Africa,Heterosexual,Single and open to dating,Prefer not to say,3.4333,5.0,4.0,4.0,4.0,3.0,4.0,3.0,6.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,6.0,5.0,5.0,4.0,3.0,6.0,5.0,5.0,4.0,6.0,3.0,0.44021666666666665,within the last 3 days,I watched pornography weekly,False,True,True,False,False,False,True,True,False,True,False,3.0,,4,,97.823,13.035,21.768135229620214,64.51612903225806,0.0,54.96597506205427,24.907784301555157,74.19354838709677,0.0,51.808626784299065
S060,28.885466666666666,11/02/2025,12:47:02,chrome,False,Windows 10,1366.0,633.0,prolific,Female,25,High school,True,Prefer not to say,Black,South Africa,Heterosexual,In a relationship and not open to dating,Prefer not to say,1.6427,2.0,6.0,5.0,3.0,3.0,3.0,3.0,5.0,4.0,6.0,2.0,3.0,0.0,4.0,6.0,5.0,5.0,5.0,4.0,1.0,4.0,4.0,2.0,5.0,4.0,3.0,0.48059999999999997,within the last week,I haven't watched pornography in the past 30 days,False,True,False,False,True,False,False,False,False,False,False,,,4,,149.729,46.546,1.7681159420289856,6.666666666666667,0.0,79.49511057590826,8.428464599048851,21.052631578947366,0.0,129.50408769768208
S061,26.375983333333334,11/02/2025,12:48:02,chrome,False,Windows 10,1920.0,957.0,prolific,Male,30,High school,True,Prefer not to say,Black,South Africa,Heterosexual,In a relationship and not open to dating,Prefer not to say,2.8766833333333333,5.0,5.0,2.0,2.0,4.0,4.0,6.0,3.0,3.0,5.0,5.0,6.0,3.0,3.0,5.0,3.0,3.0,4.0,2.0,1.0,4.0,4.0,5.0,5.0,4.0,6.0,0.5405,within the last month,I watched pornography twice in the past 30 days,False,True,False,False,False,False,False,False,False,False,False,,,3,,161.27,40.316,3.69360902255639,22.807017543859647,0.0,116.15485258305891,1.5151515151515151,9.090909090909092,0.0,131.5552889993843
S062,38.34761666666667,11/02/2025,12:53:06,chrome,False,Windows 10,1366.0,645.0,prolific,Male,22,High school,True,Prefer not to say,Black,South Africa,Heterosexual,Single and not open to dating,Prefer not to say,2.4676,0.0,3.0,6.0,2.0,2.0,6.0,0.0,3.0,4.0,3.0,4.0,2.0,0.0,0.0,6.0,4.0,6.0,5.0,6.0,6.0,6.0,0.0,1.0,6.0,6.0,0.0,0.34436666666666665,less than 24h ago,I watched pornography multiple times a day,False,True,True,False,False,False,True,False,False,True,False,2.0,,4,"This was quite a pleasurable experience, I must say. I also have to say that if there were truly AI-generated images here, then I'm blown away by how good they look. Maybe it's because I was only able to see them for a brief second, but I absolutely couldn't tell if there were AI ones too. ",218.36,65.056,9.221082621082623,29.166666666666668,0.0,82.6000600548661,16.472705314009662,77.77777777777779,0.0,53.707729068297056
S063,28.20446666666667,11/02/2025,12:55:31,edge-chromium,False,Windows 10,1232.0,594.0,prolific,Female,31,Bachelor,False,"Business, Economics",Black,South Africa,Heterosexual,In a relationship and not open to dating,Prefer not to say,3.259266666666667,4.0,3.0,3.0,2.0,6.0,6.0,6.0,6.0,4.0,5.0,2.0,5.0,2.0,0.0,6.0,3.0,5.0,5.0,6.0,0.0,6.0,6.0,0.0,2.0,2.0,4.0,0.39815,within the last 3 days,I haven't watched pornography in the past 30 days,False,True,True,False,False,False,True,False,True,True,False,3.0,,4,,73.459,42.181,0.0,0.0,0.0,71.22769156191575,0.47619047619047616,4.761904761904762,0.0,97.11805810376762
S064,51.46978333333333,11/02/2025,12:56:21,chrome,False,Windows 10,1366.0,695.0,prolific,Female,32,Bachelor,True,"Political Science, Law",Black,South Africa,Heterosexual,In a relationship and open to dating,Prefer not to say,4.613650000000001,2.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,2.0,3.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,1.0,4.0,4.0,5.0,5.0,2.0,5.0,0.7382166666666666,within the last week,I watched pornography twice in the past 30 days,False,True,True,False,False,False,False,True,False,True,False,3.0,,4,It would be nice to slow down the speed of the pictures to have a better look at it,212.005,86.503,5.0,50.0,0.0,60.060484181391985,0.0,0.0,0.0,7.494372889041483
